Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"Crochet Bouquet Pattern: Stems, Leaves + Layout",https://the-curated-pin.netlify.app/pinterest/bulk/crochet-flower-bouquet-pattern-pin-2.png,Crochet Flowers,,"Crochet Bouquet Pattern: Stems, Leaves + Layout. Open the full guide for flower ratios, three stem heights, leaf placement, color plans and the full assembly sequence. Then save it to your planning board.",https://the-curated-pin.netlify.app/article/crochet-flower-bouquet-pattern?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_outbound_test_sep2026&utm_content=crochet-flower-bouquet-pattern_v2_photo_result,2026-09-05T08:16:00,"crochet flower bouquet pattern, crochet flowers, crochet patterns"
Save This Crochet Flower Bag Pattern,https://the-curated-pin.netlify.app/pinterest/bulk/crochet-flower-bag-pattern-pin-2.png,Crochet Bags,,"Save This Crochet Flower Bag Pattern. Open the full guide for materials, measurements, step-by-step guidance, finishing notes and troubleshooting. Then save it to your planning board.",https://the-curated-pin.netlify.app/article/crochet-flower-bag-pattern?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_outbound_test_sep2026&utm_content=crochet-flower-bag-pattern_v2_utility_static,2026-09-05T11:29:00,"crochet flower bag pattern, crochet bags, crochet patterns"
"Blanket Sizes: Starting Chain, Yarn + Border Math",https://the-curated-pin.netlify.app/pinterest/bulk/crochet-blanket-size-chart-yarn-estimator-pin-2.png,Crochet Blankets,,"Blanket Sizes: Starting Chain, Yarn + Border Math. Open the full guide for finished-size targets, gauge math, starting-chain guidance, yarn estimates and border planning. Then save it to your planning board.",https://the-curated-pin.netlify.app/article/crochet-blanket-size-chart-yarn-estimator?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_outbound_test_sep2026&utm_content=crochet-blanket-size-chart-yarn-estimator_v2_utility_static,2026-09-05T14:43:00,"crochet blanket size chart, crochet blankets, crochet patterns"
Save This Beginner Crochet Stitches,https://the-curated-pin.netlify.app/pinterest/bulk/beginner-crochet-stitches-guide-pin-2.png,Crochet for Beginners,,"Save This Beginner Crochet Stitches. Open the full guide for materials, measurements, step-by-step guidance, finishing notes and troubleshooting. Then save it to your planning board.",https://the-curated-pin.netlify.app/article/beginner-crochet-stitches-guide?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_outbound_test_sep2026&utm_content=beginner-crochet-stitches-guide_v2_utility_static,2026-09-05T17:56:00,"beginner crochet stitches, crochet for beginners, crochet patterns"
"Beginner Baby Blanket: Gauge, Rows + Border",https://the-curated-pin.netlify.app/pinterest/bulk/easy-crochet-baby-blanket-pattern-pin-2.png,Crochet Blankets,,"Beginner Baby Blanket: Gauge, Rows + Border. Open the full guide for materials, gauge math, finished measurements, row planning, border notes and troubleshooting. Then save it to your planning board.",https://the-curated-pin.netlify.app/article/easy-crochet-baby-blanket-pattern?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_outbound_test_sep2026&utm_content=easy-crochet-baby-blanket-pattern_v2_photo_result,2026-09-05T21:09:00,"crochet baby blanket pattern, crochet blankets, crochet patterns"
Save This Crochet Bag Pattern,https://the-curated-pin.netlify.app/pinterest/bulk/easy-crochet-tote-bag-pattern-pin-2.png,Crochet Bags,,"Save This Crochet Bag Pattern. Open the full guide for materials, measurements, step-by-step guidance, finishing notes and troubleshooting. Then save it to your planning board.",https://the-curated-pin.netlify.app/article/easy-crochet-tote-bag-pattern?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_outbound_test_sep2026&utm_content=easy-crochet-tote-bag-pattern_v2_utility_static,2026-09-06T00:10:00,"crochet bag pattern, crochet bags, crochet patterns"
Save This Crochet Patterns For Beginners,https://the-curated-pin.netlify.app/pinterest/bulk/easy-crochet-patterns-for-beginners-pin-2.png,Crochet for Beginners,,"Save This Crochet Patterns For Beginners. Open the full guide for materials, measurements, step-by-step guidance, finishing notes and troubleshooting. Then save it to your planning board.",https://the-curated-pin.netlify.app/article/easy-crochet-patterns-for-beginners?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_outbound_test_sep2026&utm_content=easy-crochet-patterns-for-beginners_v2_utility_static,2026-09-06T03:22:00,"crochet patterns for beginners, crochet for beginners, crochet patterns"
Save This Crochet Ideas,https://the-curated-pin.netlify.app/pinterest/bulk/crochet-ideas-for-beginners-pin-2.png,Crochet for Beginners,,"Save This Crochet Ideas. Open the full guide for materials, measurements, step-by-step guidance, finishing notes and troubleshooting. Then save it to your planning board.",https://the-curated-pin.netlify.app/article/crochet-ideas-for-beginners?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_outbound_test_sep2026&utm_content=crochet-ideas-for-beginners_v2_utility_static,2026-09-06T04:11:00,"crochet ideas, crochet for beginners, crochet patterns"
Make This Beginner Crochet Flower,https://the-curated-pin.netlify.app/pinterest/bulk/easy-crochet-flowers-for-beginners-pin-3.png,Crochet Flowers,,"Make This Beginner Crochet Flower. Open the full guide for the complete five-petal stitch sequence, materials, finishing steps and three easy variations. Then save it to your planning board.",https://the-curated-pin.netlify.app/article/easy-crochet-flowers-for-beginners?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_outbound_test_sep2026&utm_content=easy-crochet-flowers-for-beginners_v3_utility_static,2026-09-06T07:28:00,"crochet flower pattern, crochet flowers, crochet patterns"
Make a Balanced Crochet Flower Bouquet,https://the-curated-pin.netlify.app/pinterest/bulk/crochet-flower-bouquet-pattern-pin-3.png,Crochet Flowers,,"Make a Balanced Crochet Flower Bouquet. Open the full guide for flower ratios, three stem heights, leaf placement, color plans and the full assembly sequence. Then save it to your planning board.",https://the-curated-pin.netlify.app/article/crochet-flower-bouquet-pattern?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_outbound_test_sep2026&utm_content=crochet-flower-bouquet-pattern_v3_photo_result,2026-09-06T10:41:00,"crochet flower bouquet pattern, crochet flowers, crochet patterns"
Crochet Flower Bag Pattern: Start Here,https://the-curated-pin.netlify.app/pinterest/bulk/crochet-flower-bag-pattern-pin-3.png,Crochet Bags,,"Crochet Flower Bag Pattern: Start Here. Open the full guide for materials, measurements, step-by-step guidance, finishing notes and troubleshooting. Then save it to your planning board.",https://the-curated-pin.netlify.app/article/crochet-flower-bag-pattern?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_outbound_test_sep2026&utm_content=crochet-flower-bag-pattern_v3_utility_static,2026-09-06T13:54:00,"crochet flower bag pattern, crochet bags, crochet patterns"
Plan Your Crochet Blanket Before You Start,https://the-curated-pin.netlify.app/pinterest/bulk/crochet-blanket-size-chart-yarn-estimator-pin-3.png,Crochet Blankets,,"Plan Your Crochet Blanket Before You Start. Open the full guide for finished-size targets, gauge math, starting-chain guidance, yarn estimates and border planning. Then save it to your planning board.",https://the-curated-pin.netlify.app/article/crochet-blanket-size-chart-yarn-estimator?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_outbound_test_sep2026&utm_content=crochet-blanket-size-chart-yarn-estimator_v3_utility_static,2026-09-06T17:08:00,"crochet blanket size chart, crochet blankets, crochet patterns"
Beginner Crochet Stitches: Start Here,https://the-curated-pin.netlify.app/pinterest/bulk/beginner-crochet-stitches-guide-pin-3.png,Crochet for Beginners,,"Beginner Crochet Stitches: Start Here. Open the full guide for materials, measurements, step-by-step guidance, finishing notes and troubleshooting. Then save it to your planning board.",https://the-curated-pin.netlify.app/article/beginner-crochet-stitches-guide?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_outbound_test_sep2026&utm_content=beginner-crochet-stitches-guide_v3_utility_static,2026-09-06T20:21:00,"beginner crochet stitches, crochet for beginners, crochet patterns"
Crochet a Baby Blanket That Finishes Flat,https://the-curated-pin.netlify.app/pinterest/bulk/easy-crochet-baby-blanket-pattern-pin-3.png,Crochet Blankets,,"Crochet a Baby Blanket That Finishes Flat. Open the full guide for materials, gauge math, finished measurements, row planning, border notes and troubleshooting. Then save it to your planning board.",https://the-curated-pin.netlify.app/article/easy-crochet-baby-blanket-pattern?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_outbound_test_sep2026&utm_content=easy-crochet-baby-blanket-pattern_v3_photo_result,2026-09-06T23:34:00,"crochet baby blanket pattern, crochet blankets, crochet patterns"
Crochet Bag Pattern: Start Here,https://the-curated-pin.netlify.app/pinterest/bulk/easy-crochet-tote-bag-pattern-pin-3.png,Crochet Bags,,"Crochet Bag Pattern: Start Here. Open the full guide for materials, measurements, step-by-step guidance, finishing notes and troubleshooting. Then save it to your planning board.",https://the-curated-pin.netlify.app/article/easy-crochet-tote-bag-pattern?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_outbound_test_sep2026&utm_content=easy-crochet-tote-bag-pattern_v3_utility_static,2026-09-07T02:35:00,"crochet bag pattern, crochet bags, crochet patterns"
Crochet Patterns For Beginners: Start Here,https://the-curated-pin.netlify.app/pinterest/bulk/easy-crochet-patterns-for-beginners-pin-3.png,Crochet for Beginners,,"Crochet Patterns For Beginners: Start Here. Open the full guide for materials, measurements, step-by-step guidance, finishing notes and troubleshooting. Then save it to your planning board.",https://the-curated-pin.netlify.app/article/easy-crochet-patterns-for-beginners?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_outbound_test_sep2026&utm_content=easy-crochet-patterns-for-beginners_v3_utility_static,2026-09-07T05:51:00,"crochet patterns for beginners, crochet for beginners, crochet patterns"
Crochet Ideas: Start Here,https://the-curated-pin.netlify.app/pinterest/bulk/crochet-ideas-for-beginners-pin-3.png,Crochet for Beginners,,"Crochet Ideas: Start Here. Open the full guide for materials, measurements, step-by-step guidance, finishing notes and troubleshooting. Then save it to your planning board.",https://the-curated-pin.netlify.app/article/crochet-ideas-for-beginners?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_outbound_test_sep2026&utm_content=crochet-ideas-for-beginners_v3_utility_static,2026-09-07T06:39:00,"crochet ideas, crochet for beginners, crochet patterns"
